iter	RMSE
0	5.044039291
1	4.72832647
2	4.454662588
3	4.217088956
4	4.013087415
5	3.833085877
6	3.67729798
7	3.543314606
8	3.431729654
9	3.328465049
10	3.236926597
11	3.147694372
12	3.070992919
13	3.003115093
14	2.947007419
15	2.892301136
16	2.843949133
17	2.803411971
18	2.762621258
19	2.724537286
20	2.692250616
21	2.662609624
22	2.638081431
23	2.611545351
24	2.590278628
25	2.570071257
26	2.551656123
27	2.537511588
28	2.519259949
29	2.503937768
30	2.491954802
31	2.476633638
32	2.469236795
33	2.454283135
34	2.445426822
35	2.4351349
36	2.42491927
37	2.413408002
38	2.398884937
39	2.389681953
40	2.384694709
41	2.376807693
42	2.371539988
43	2.363751125
44	2.359622638
45	2.351807123
46	2.345492259
47	2.342356574
48	2.335492136
49	2.32596549
50	2.32059877
51	2.315139944
52	2.312481744
53	2.303093332
54	2.295660356
55	2.288617467
56	2.281213859
57	2.271078265
58	2.26335525
59	2.259950368
60	2.255522709
61	2.247735603
62	2.232813901
63	2.227743463
64	2.224428255
65	2.219231491
66	2.213522209
67	2.20601234
68	2.201519031
69	2.195073217
70	2.190891462
71	2.185734471
72	2.176166295
73	2.170943602
74	2.163305602
75	2.1601568
76	2.155196941
77	2.152172922
78	2.14912109
79	2.145265198
80	2.143251827
81	2.141842648
82	2.138885781
83	2.133068
84	2.130383465
85	2.12675572
86	2.122753278
87	2.120068199
88	2.11795149
89	2.115998616
90	2.112638752
91	2.106539871
92	2.102813476
93	2.100756048
94	2.098378564
95	2.093785763
96	2.089008935
97	2.085290091
98	2.083234659
99	2.078730713
100	2.07678967
101	2.074586652
102	2.070702303
103	2.068914209
104	2.067728854
105	2.063175764
106	2.062258405
107	2.060848058
108	2.055919238
109	2.053629849
110	2.052994414
111	2.051055352
112	2.049080083
113	2.047667369
114	2.043383223
115	2.041559065
116	2.037798539
117	2.035350942
118	2.032766247
119	2.031343211
120	2.028913981
121	2.025538506
122	2.023597459
123	2.020619059
124	2.019177121
125	2.017033098
126	2.015046982
127	2.01263386
128	2.008241134
129	2.005343788
130	2.004228212
131	2.002454943
132	1.99995121
133	1.997780252
134	1.996025389
135	1.995307536
136	1.994128469
137	1.992999558
138	1.99155141
139	1.989801724
140	1.98737178
141	1.986499902
142	1.98379069
143	1.982750703
144	1.981417634
145	1.979960922
146	1.978646463
147	1.976540379
148	1.973902378
149	1.972779154
150	1.972247568
151	1.970459972
152	1.967811286
153	1.966137495
154	1.964249968
155	1.963055638
156	1.961934022
157	1.960611975
158	1.959302434
159	1.958167809
160	1.95704659
161	1.95589815
162	1.953898948
163	1.952604585
164	1.949684752
165	1.947516439
166	1.946720178
167	1.946243621
168	1.941713765
169	1.939447192
170	1.938438304
171	1.937242422
172	1.936648066
173	1.935473344
174	1.934443352
175	1.932726296
176	1.932023777
177	1.930349624
178	1.929624457
179	1.928241999
180	1.927596565
181	1.925545607
182	1.924964203
183	1.923519957
184	1.922360761
185	1.921641555
186	1.920779762
187	1.919360126
188	1.918314884
189	1.916535851
190	1.914788619
191	1.913916748
192	1.911732539
193	1.910783781
194	1.909767738
195	1.907686434
196	1.906911019
197	1.905473868
198	1.904631172
199	1.903566468
200	1.90299605
201	1.902302346
202	1.901509707
203	1.900872316
204	1.899967691
205	1.899413577
206	1.898112482
207	1.897681583
208	1.897004782
209	1.896295108
210	1.894408236
211	1.894074322
212	1.892370892
213	1.890116827
214	1.888947461
215	1.887892936
216	1.886486557
217	1.885156339
218	1.884685534
219	1.884276112
220	1.882446116
221	1.881513207
222	1.881202329
223	1.880069375
224	1.878693218
225	1.878400046
226	1.8776163
227	1.87595396
228	1.875441824
229	1.874803469
230	1.873790861
231	1.872649704
232	1.871647975
233	1.870774461
234	1.866618543
235	1.865939217
236	1.865453711
237	1.864891259
238	1.863458112
239	1.862987931
240	1.861833936
241	1.861473902
242	1.861066422
243	1.860442194
244	1.85951976
245	1.859051486
246	1.858323066
247	1.856885242
248	1.856323116
249	1.855987626
250	1.854942134
251	1.854265824
252	1.853387867
253	1.852434525
254	1.851496262
255	1.850882013
256	1.850344093
257	1.850011012
258	1.848769799
259	1.847879932
260	1.847216709
261	1.846413126
262	1.845714179
263	1.844739912
264	1.844103044
265	1.842296287
266	1.841764488
267	1.840686441
268	1.840177885
269	1.839716581
270	1.839176732
271	1.837868002
272	1.837032447
273	1.835865317
274	1.834285431
275	1.83359789
276	1.833039937
277	1.832769494
278	1.831676115
279	1.831583612
280	1.830677069
281	1.830337874
282	1.829690746
283	1.829537912
284	1.829182494
285	1.828863896
286	1.828257892
287	1.827395297
288	1.827282733
289	1.826215919
290	1.825314954
291	1.82474977
292	1.82419887
293	1.823056302
294	1.821833424
295	1.821144277
296	1.820377553
297	1.820129398
298	1.819473462
299	1.818076356
300	1.81757119
301	1.816641135
302	1.815626823
303	1.815203152
304	1.814205564
305	1.813196403
306	1.812370951
307	1.811643875
308	1.811079084
309	1.810735955
310	1.81063419
311	1.810052881
312	1.809055727
313	1.807956363
314	1.807579609
315	1.807072956
316	1.806761337
317	1.806362381
318	1.806034678
319	1.804597433
320	1.804097018
321	1.803730298
322	1.803411649
323	1.802509458
324	1.801865598
325	1.801140961
326	1.800756325
327	1.800686311
328	1.79989695
329	1.799475819
330	1.799164031
331	1.798699683
332	1.79849456
333	1.798127367
334	1.797465258
335	1.796932641
336	1.796085412
337	1.795463421
338	1.794434908
339	1.793534834
340	1.793062421
341	1.79262895
342	1.792239757
343	1.790921501
344	1.790465053
345	1.789966177
346	1.789586798
347	1.788929177
348	1.788449471
349	1.787691568
350	1.787622514
351	1.787405982
352	1.786565509
353	1.786283662
354	1.786158123
355	1.785633461
356	1.785507093
357	1.785007102
358	1.784736991
359	1.783419177
360	1.783010793
361	1.781860635
362	1.78160312
363	1.781323872
364	1.780827581
365	1.780623391
366	1.7802163
367	1.779727707
368	1.779198293
369	1.778787173
370	1.77798071
371	1.77747089
372	1.777301053
373	1.776782825
374	1.77576663
375	1.775337559
376	1.774558721
377	1.77386553
378	1.773670699
379	1.772885987
380	1.771644137
381	1.771373659
382	1.770468914
383	1.769715416
384	1.769175291
385	1.768917738
386	1.768515833
387	1.768025545
388	1.7678616
389	1.766917727
390	1.76636691
391	1.765622271
392	1.764868772
393	1.764551816
394	1.763085213
395	1.762767893
396	1.762229038
397	1.760942166
398	1.759989784
399	1.759748012
400	1.759250838
401	1.758866741
402	1.758281442
403	1.757660976
404	1.757419827
405	1.757112233
406	1.756664744
407	1.756348239
408	1.756046416
409	1.755000082
410	1.754778214
411	1.754700525
412	1.754377118
413	1.753731958
414	1.75349754
415	1.753315709
416	1.752891948
417	1.752660284
418	1.751739749
419	1.751375939
420	1.750869956
421	1.750600882
