iter	Passed	Remaining
0	229	229003
1	328	163889
2	426	141853
3	520	129561
4	630	125385
5	731	121233
6	821	116491
7	914	113389
8	1009	111109
9	1118	110731
10	1215	109286
11	1316	108379
12	1415	107432
13	1515	106699
14	1613	105944
15	1714	105466
16	1812	104782
17	1903	103856
18	1994	102990
19	2096	102720
20	2197	102450
21	2298	102157
22	2394	101723
23	2494	101462
24	2582	100735
25	2678	100343
26	2774	99976
27	2871	99697
28	2968	99396
29	3059	98932
30	3155	98643
31	3245	98189
32	3339	97854
33	3432	97533
34	3526	97233
35	3611	96719
36	3704	96414
37	3791	95989
38	3882	95659
39	3970	95280
40	4054	94831
41	4145	94558
42	4231	94178
43	4320	93883
44	4409	93570
45	4496	93248
46	4576	92805
47	4661	92446
48	4761	92414
49	4839	91956
50	4926	91666
51	5011	91367
52	5092	90997
53	5165	90489
54	5233	89921
55	5305	89442
56	5380	89021
57	5462	88722
58	5547	88479
59	5629	88196
60	5706	87845
61	5779	87436
62	5859	87142
63	5935	86801
64	6019	86587
65	6099	86318
66	6171	85944
67	6250	85672
68	6334	85474
69	6414	85221
70	6495	84996
71	6572	84705
72	6645	84395
73	6727	84184
74	6805	83937
75	6887	83737
76	6971	83573
77	7049	83323
78	7126	83078
79	7202	82832
80	7274	82537
81	7356	82361
82	7431	82101
83	7510	81903
84	7596	81774
85	7679	81618
86	7755	81391
87	7836	81219
88	7915	81027
89	8013	81020
90	8097	80890
91	8170	80637
92	8247	80439
93	8330	80290
94	8410	80119
95	8491	79960
96	8567	79759
97	8647	79596
98	8727	79431
99	8803	79235
100	8883	79070
101	8958	78870
102	9029	78639
103	9105	78450
104	9183	78281
105	9255	78061
106	9332	77889
107	9419	77798
108	9487	77557
109	9560	77353
110	9634	77165
111	9708	76973
112	9782	76789
113	9852	76571
114	9928	76404
115	9998	76193
116	10075	76037
117	10150	75871
118	10225	75706
119	10305	75573
120	10376	75381
121	10449	75205
122	10532	75096
123	10606	74928
124	10674	74718
125	10751	74576
